"","V1","V2","V3","V4"
"1",-0.0287376082412686,0.812445347725181,-5.00700469709978,4.33642168855061
"2",-0.0175035432837433,0.705447972665402,-2.71022589549951,-3.24213204715691
"3",-0.0146742781729321,0.679299773479376,-1.75527586322109,-4.87429864202011
"4",-0.0132395390177787,0.66793738518329,-1.20845396643142,-5.01279188028522
"5",-0.0106481896158231,0.645817315879773,-0.652663687766368,-6.0097397174575
"6",-0.00976860991420244,0.639999391412791,-0.329713599284754,-6.15789236614867
"7",-0.00461927626624173,0.596981763402794,0.244268266473174,-7.50319326619405
"8",-0.00324264012762502,0.589974883445877,0.429674270405514,-7.1725445598471
"9",-0.00209064198258307,0.586291817786254,0.549841862335421,-6.57771722011198
"10",-0.00065956261193706,0.58070727857868,0.68237959033285,-6.44622255843211
"11",0.00622454025510651,0.527688230790233,1.18782737441874,-7.89807903419378
"12",0.00585731108962976,0.540640592873634,1.12158253761935,-6.90572764496687
"13",0.00894658308790877,0.524514175885432,1.27049995484152,-6.81577290702984
"14",0.00807894286884896,0.544680484766962,1.1131102601972,-5.47592714706618
"15",0.0107951695299305,0.533417930382164,1.23945574026548,-5.62359526665924
"16",0.0104484749777732,0.550383239594876,1.12542067521585,-4.69608265424271
"17",0.00994056506944731,0.569564912206077,1.00991995876405,-3.91958855386272
"18",0.00989004359447108,0.585842816816597,0.920148271292306,-3.297977336272
"19",0.00622672517472798,0.635033834807168,0.569172905644727,-1.44331669284331
"20",0.00647416174475212,0.649789042129589,0.539265579145099,-1.45369001218328
"21",0.0031118726459366,0.697824543189685,0.236299306811296,-0.0467412329015161
"22",0.00297388098876107,0.717401748814344,0.218297798941955,-0.185277492318983
"23",-0.000770026680552714,0.771545717036271,-0.112968552664994,1.36764407223242
"24",-0.0025828041147868,0.809492681763758,-0.273634094964885,1.91884126616196
"25",-0.000691040605043705,0.814661224160432,-0.0974469181857363,0.723003624851099
"26",-0.00169062662754072,0.84830400191783,-0.159209611473767,0.681627599758367
"27",-0.00141444718052957,0.872925458981896,-0.122188363787545,0.279937392479619
"28",0.00120229425128907,0.879970092376962,0.0712215354653144,-0.79291595753188
"29",0.00346163117216843,0.893312310232542,0.256453037889407,-1.74265414155491
"30",-0.0011793186606218,0.973633127492914,-0.124005291728348,-0.23328956549498
"31",0.000253422631470631,1.00374520299161,0.0107858525095653,-1.06106773306178
"32",-0.00101652817522486,1.06604175877873,-0.102169660430269,-0.93545294003304
"33",0.00238286264600198,1.09471876514125,0.177946119845948,-2.57342844430425
"34",-0.000326292183611306,1.19175925936229,-0.0530893997236624,-1.64923572341755
"35",0.00182949419260484,1.26296876773811,0.133709764184268,-3.12633597844655
"36",0.00107113633095847,1.39140045660947,0.0412195018060569,-3.34640165062412
